64126	lycamobile network services uganda limited
26260	db telematik
64122	airtel/warid
63408	vivacell
63409	nec
64304	vodacom
63403	mtn sudan
63400	canar telecom
63401	zain/mobitel
63406	zain/mobitel
64301	mcel
63405	vivacell
64503	zamtel/cell z/mts
65202	orange
311910	si wireless llc
36801	c-com
41892	itisaluna and kalemat
312110	texas energy network llc
90138	multiregional transittelecom (mtt)
90139	mtx connect ltd
90134	tyntec gmbh
90135	globecomm network services
90136	azerfon
45504	c.t.m. telemovel+
54202	digicell
54203	telecom fiji ltd
90132	megafon
54201	vodafone
25705	beltelecom
63086	orange rdc sarl
42528	phi networks
42529	cg networks
23404	fms solutions ltd
63088	yozma timeturns sprl (ytt)
63089	tigo/oasis
41301	mobitel ltd.
41303	etisalat/tigo
41302	mtn/dialog
41305	airtel
41304	lanka bell ltd
310080	at&t mobility
41308	h3g hutchison
346006	digicel ltd.
71404	digicel
71401	cable & w./mas movil
71403	claro
71402	movistar
62207	soteltchad
62204	salam/sotel
62203	tigo/milicom/tchad mobile
62202	tchad mobile
62201	airtel/zain/celtel
27821	go mobile
312020	infrastructure networks, llc
24025	digitel mobile srl
24024	telenor (vodafone)
24027	fogg mobile ab
24026	beepsend
24021	trafikverket ict
24020	wireless maingate ab
24023	infobip ltd.
24022	eu tel ab
24029	mercury international carrier services
53003	walker wireless ltd.
313210	at&t mobility
40485	reliance telecom private
53002	spark/nz telecom
42526	lb annatel ltd.
34010	guadeloupe téléphone mobile
53005	spark/nz telecom
310880	advantage cellular systems, inc.
34012	uts caraibe
53007	bluereach limited
334010	nextel
40217	bhutan telecom ltd (btl)
330000	pr wireless
40211	b-mobile
50211	mtx utara
41882	korek
50213	celcom
50212	maxis
405867	jio
50214	telekom malaysia berhad for pstn sms
50217	maxis
50216	digi telecommunications
50219	celcom
50218	u mobile
405869	jio
405868	jio
302360	clearnet
302361	clearnet
45507	china telecom (macau) limitada
312330	nemont communications, inc.
36294	bòbò frus n.v.
45505	hutchison telephone co. ltd
73022	cellplus spa
